company,jobSummary,jobTitle,location,url
Bureau Translations,"Perfil: ,Profissionais com experiência comprovada de no minimo 2 anos em backend (servidor, banco de dados, modelagem, programação, estruturação de dados e implementação) e frontend (interface, UX) em qualquer área de negócios.,Desenvolvedor ,Full Stack, , capaz de rapidamente trocar entre plataformas e absorver nova tecnologia. Trabalhamos com uma plataforma de tradução proprietária e muitas integrações para os fluxos de trabalho contínuos de nossos clientes. Nossa ferramenta atende tanto nossos usuários internos quanto os externos.,Qualificações e Habilidades desejadas: ,Java, J2EE, Spring,NodeJS,AngularJS,Linux / Mac / *UX Systems,Docker,AWS / S3 / ECS / CloudFront,Git,HTML, CSS e JavaScript,PostgreSQL / SQL,Inglês intermediário – avançado;,Curiosidade, sede por conhecimento e capacidade de entender os processos como um todo;,Dinamismo, agilidade, foco e perfil multidisciplinar;,Facilidade de comunicação e trabalho em equipe;,Benefícios: ,Assistência Médica;,Vale Transporte e;,Vale refeição.,Tipo de vaga: Efetivo/CLT,Salário: de R$3.800,00 a R$4.000,00 /mês,Experience:,backend e fronted (Obrigatório),Local da Vaga:,Barueri, SP (Obrigatório),Language:,Inglês (Obrigatório)",Desenvolvedor Pleno Full-Stack,"Barueri, SP",http://www.indeed.com.br/cmp/Bureau-Translations/jobs/Desenvolvedor-Pleno-Full-Stack-e96145f0f587c20a?sjdu=QwrRXKrqZ3CNX5W-O9jEvQ3e2QkuoRwOjBLu09RK-kQpPXPGlIHFQkePwmWaofpOacnMd9AyL5ArY0_ugFf_2olRlOs5wvxFGiOs5Vrd8ss&vjs=3
Viewit Mobile,"Atividades a serem desenvolvidas: ,Desenvolvimento de sites mobile,Necessário ter disponibilidade para início imediato e utilizar em seu dia-a-dia as tecnologias descritas abaixo., ,Requisitos necessários: ,- Formação superior completa ou em curso;,- Experiência mínima de 3 anos com alguma linguagem de programação;,- Boa lógica de programação;,- Que esteja utilizando atualmente as habilidades abaixo descritas em seu dia-a-dia:,- Programação Javascript;,- Html/Css;,- Node.Js;,- Linux;,- Amazon AWS;,Sobre a vaga,Salário a combinar - ,enviar pretensão juntamente com o CV, .,Assistência médica e Vale-refeição.,Contrato PJ.,Período integral – Seg-Sex – 09h30min – 18h30min.,2 vagas,Perguntas a serem respondidas com o e-mail de candidatura,1 - Descreva sua experiência com programação.,2 - Qual sua rotina no dia-a-dia atualmente?,3 - Envie o link da sua conta no GitHub.,Tipo de vaga: Tempo Integral,Experiências necessárias:,Linux,CSS Avançado,JavaScript Avançado,Node.Js,HTML Avançado,Local da Vaga:,Zona Sul de São Paulo, SP","Desenvolvedor Full Stack Pleno - Início Imediato - Vaga local, SP/SP.","Zona Sul de São Paulo, SP",http://www.indeed.com.br/cmp/Viewit-Tecnologia/jobs/Desenvolvedor-Full-Stack-Pleno-e35d7ddf2fb4a13c?sjdu=QwrRXKrqZ3CNX5W-O9jEvQ3e2QkuoRwOjBLu09RK-kSdbN6fHHvT54Uba6-SMM6ARgx5oJVAACzN5Hixm3mIH6bm_U4iAUSRMMUsrNiUU7gYk4mp55f-oAzkCYZ8-_KfQvdFHqjI9jZO8doB_wLTvGmQqQQulktRWukhGW3rLa8&vjs=3
Richter Consulting,"Programador-analista Python 3 com experiencia em XLM-RPC, API-REST, JSON,Tipo de vaga: Tempo Integral,Salário: de R$3.000,00 a R$3.500,00 /mês,Formação acadêmica necessária:,Ensino superior,Idioma exigido:,Ingles",Programador Python,"Campo Bom, RS",http://www.indeed.com.br/cmp/Richter-Consulting/jobs/Programador-Python-2c9c59a83f49442b?sjdu=QwrRXKrqZ3CNX5W-O9jEvaHOpqllL5Y53_MfbZSYEDJBXRwmalsZ7MeNk1Vg3fHs7BeayaLxWkRY09DZ4bMUvDQ2b9Il319ZICwwVIqdchs&vjs=3
Accenture,"Junte-se a Accenture e ajude a transformar as organizações e comunidades em todo o mundo. A Accenture é uma das principais consultorias de gestão, serviços de tecnologia e outsourcing.,
,
Esta posição faz parte de ,Accenture Operations ,que opera processos de negócios e infraestrutura prestando serviços em nome de nossos clientes.,
,
Nossos profissionais, na estrutura de ,Client Delivery & Operations,, conduzem e entregam serviços de excelência através do design, desenvolvimento e/ou entrega de uma solução, serviço ou oferta. Esses profissionais se desenvolvem em posições focadas em delivery para os clientes e podem crescer profissionalmente tanto vertical quanto horizontalmente.,
,
Os profissionais da área de ,Integração de Tecnologias, analisam, projetam e desenvolvem as melhores práticas em mudanças corporativas através de soluções de tecnologia.,
,
Responsabilidades,
Atuar na automação de processos de área. Desenvolvimento e implantação de de aplicações em VBA, PHP e demais linguagens., ,Requisitos,
Conhecimento avançado de Programação de Computadores em SQL e VBA.,
Conhecimento avançado de Programação de Computadores em PHP, ASP, HTML, VB, C# será um diferencial,
Conhecimento avançado de Excel e Access.,
Conhecimento avançado em Sharepoint será um diferencial,
Perfil analítico.,
Inglês (intermediário),
Boa comunicação (por exemplo, para dar treinamentos),
Conhecimento básico de melhoria contínua (fundamentos de Lean Six Sigma) e forte interesse de trabalhar com os conceitos de automatização de processos.,
Ensino superior em engenharia ou informática,
A Accenture não discrimina por motivos de raça, religião, cor, sexo, idade, deficiência não incapacitante para a função, nacionalidade, orientação sexual, identidade ou expressão de gênero, ou por nenhum outro motivo proibido pela legislação local. Essa oportunidade é extensiva a todas as pessoas com deficiência. Solicitamos que seja descrito no currículo o tipo de deficiência, bem como se requer algum recurso especial para desenvolver seu trabalho.",Desenvolvedor PHP,"Belo Horizonte, MG",https://www.indeed.com.br/ver-emprego?jk=98a6698195248c6b&tk=1ca0uhdk20nj56au&from=serp&alid=3&advn=4000183153492290
Sysmap Solutions,"Sysmap Solutions contrata para atuação em nossa Fábrica de Software em Belo Horizonte/MG. Venha fazer parte do nosso time!! !!
,
Atuar no desenvolvimento e manutenção evolutiva e corretiva de sistemas e/ou aplicações JAVA.
,Competências Técnicas:, Conhecimento em aplicações JavaEE com Hibernate, JPA, EJB, JSF, STRUTS, JSTL, WebServices, JMS e RMI.
,Servidor de aplicação:, Weblogic, Websphere, Jboss e/ou Oracle Application Server.
,Desenvolvimento Web HTML, JSP, CSS, Javascript, JQuery, XSLT, XML, AJAX
,Modelagem OO.
,Desejável:, Bancos de dados Oracle e SQL Server, Sun Certified Java Associate (SCJA) ou Sun Certified Java Programmer (SCJP).",Desenvolvedor Java Jr.,"Belo Horizonte, MG",https://www.indeed.com.br/ver-emprego?jk=63329850e21e48fc&tk=1ca0uhe900nj351u&from=serp&alid=3&advn=7564429115300330
Senior Solution,"a Senior Solution, empresa brasileira há mais de 20 anos no mercado prestando serviços para Instituições Financeiras e Seguradoras de grande porte está em busca de ANALISTA DE SISTEMAS PLENO na localidade: BELO HORIZONTE - MG
,Experiencia com .NET, C# e atuar fortemente com banco de dados ORACLE, SQL SERVER(SSIS, SSRS, TSQL), realizando Procedures, Triggers, Views, Functions. Modalidade de contratação: CLT",Analista de Sistemas Pleno,"Belo Horizonte, MG",https://www.indeed.com.br/ver-emprego?jk=c5571fc1567ddced&tk=1ca0uhf6b0nj34ra&from=serp&alid=3&advn=7564429115300330
LocusPrime,"Importante, o desenvolvedor deve ter boa desenvoltura em Back e Front!
,
,Buscamos desenvolvedor Full Stack com experiência em:,
,
,Javascript,
,Node JS,
,React,
,Redux,
,MySql,
,SQL Server,
,Mongo DB,
,
,Experiências que serão vistas como diferenciais:,
,
,React Native,
,.net,
,MVC,
,c#,
,
",Desenvolvedor React / Node,"Belo Horizonte, MG",https://www.indeed.com.br/ver-emprego?jk=2c9b638e354a67dd&tk=1ca0uhf9b0nj364o&from=serp&alid=3&advn=7564429115300330
Tecprime,"Resumo da Vaga,O que essa pessoa irá fazer?,Será responsável por desenvolver sistemas conforme etapas e ações definidas pelo cronograma do projeto realizando manutenções para prevenir e evoluir, além de trazer críticas e novas ideias com o objetivo de oferecer soluções únicas para o mercado.,Benefícios: ,Assistência Médica / Tíquete-refeição / Vale-transporte,Tipo de vaga: Efetivo/CLT,Procuramos pessoas proativas, apaixonadas por tecnologia e trabalho em equipe e que queiram transformar o mundo oferecendo soluções tecnológicas, surpreendendo e encantando clientes todos os dias.,Tipo de vaga: Efetivo/CLT,Formação acadêmica necessária:,Ensino superior,Local da Vaga:,Uberlândia, MG",Desenvolvedor Full Stack,"Uberlândia, MG",http://www.indeed.com.br/cmp/Tecprime/jobs/Desenvolvedor-Full-Stack-c5bf2414bf3fccae?sjdu=QwrRXKrqZ3CNX5W-O9jEvQ3e2QkuoRwOjBLu09RK-kSdbN6fHHvT54Uba6-SMM6AxVfspQ--cveb9PBpVvqzwuwoeOyCagrFEw_fMTU57F0&vjs=3
mLearn Educação Móvel,"Procuramos por um desenvolvedor(a) front-end que seja apaixonado(a) por Javascript, tecnologias móveis e, claro, tenha vontade de fazer parte de algo inovador.
,
,Suas responsabilidades :,
Programar em Javascript utilizando boas práticas de desenvolvimento.
,Aprimoramento de usabilidade e performance das interfaces de nossos produtos.
,
,Requisitos técnicos:,
Conhecimento avançado Javascript.
,Conhecimento em controle de versão Git;
,Inglês técnico (Leitura e escrita);
,Bom entendimento sobre APIs RESTful;
,Conhecimentos sólidos em HTML5 & CSS3;
,Conhecimento básico em Ionic;
,Conhecimento intermediário em AngularJS
,
,Requisitos adicionais:,
Conhecimento básico em Gulp, NPM e PHP.
,Participação ativa no GitHub.
,+80pts no StackOverflow.
,Gostar de rock n’ roll!",Dev. Mobile Front-end Junior,"Belo Horizonte, MG",https://www.indeed.com.br/ver-emprego?jk=80caca323e7bff4a&tk=1ca0uhfk90nj34f8&from=serp&alid=3&advn=7564429115300330
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. ( SM)
,
,Responsabilidades:,
Mapear as necessidades e propor soluções sistêmicas para melhorar o processo de negócio através de entrevistas com a área usuária.
,
Buscar as melhores soluções nos diversos sistemas implantados bem como os que estão disponíveis no mercado, através de uma visão holística e integrada das demandas.
,
Assegurar comunicação entre as equipes de desenvolvimento e de negócio para que o cliente tenha toda a informação necessária dos seus respectivos projetos, utilizando para isso os comitês de demandas, status report, atas de reunião e o sistema de gestão de projetos.
,
Desenvolver especificações funcionais e técnicas para desenvolvimento de customizações ou novos aplicativos, seguindo metodologia UML.
,
Apoiar a área usuária através do atendimento de chamados nível 2 em ferramenta de gestão.
,
Realizar treinamentos funcionais dos sistemas de responsabilidade da área de Soluções Corporativas, mantendo atualizada toda documentação de apoio.
,
Facilitar o desenvolvimento dos demais colaboradores da equipe com menor senioridade, orientando e compartilhando experiências.
,
,Qualificações:,
Graduação Completa em TI
,
Inglês Intermediário
,
Conhecimento em Banco de Dados SQL
,
Conhecimento dos processos de sistemas ERP
,
Experiência em Levantamento de Requisitos","Analista de Sistemas Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=c084fa92bf7190e8&tk=1ca0uhftd0nj3079&from=serp&alid=3&advn=3303391347378714
